Unique ID;球员类型;名字;国家或地区;俱乐部;联赛;联赛键;联赛可信度;年龄;身高(cm);左脚;右脚;主力脚;最佳位置;第二位置;其他可用位置;定价位置;最佳位置倍率;第二位置倍率;其他位置倍率;最佳位置能力;第二位置能力;其他位置能力;FM身价原文;FM身价下限(百万英镑);FM身价上限(百万英镑);FM身价中位(百万英镑);评分_射门;评分_传球;评分_控球;评分_防守;评分_速度;评分_身体;评分_意识;评分_意志;FM_技术;FM_抢断;FM_罚点球;FM_传球;FM_盯人;FM_界外球;FM_远射;FM_头球;FM_任意球;FM_停球;FM_射门;FM_盘带;FM_传中;FM_角球;FM_强壮;FM_耐力;FM_速度;FM_体质;FM_弹跳;FM_平衡;FM_灵活;FM_爆发力;FM_预判;FM_才华;FM_领导力;FM_无球跑动;FM_工作投入;FM_视野;FM_团队合作;FM_选位;FM_意志力;FM_决断;FM_集中;FM_镇定;FM_勇敢;FM_侵略性;模型价格(百万欧元);位置稀缺系数;巨星系数;FM身价修正;基础价格(百万欧元);本局价格下限(百万欧元);本局价格上限(百万欧元);价格池;缺失FM属性数;校验状态;原最佳位置;原第二位置;原全部位置
53095137;现役;Martin Ødegaard;挪威;Arsenal;英超;英超;manual;26;178;精准;还行;左脚;前腰;;中前卫;前腰;1.0;0.95;0.9;80.2;;72.2;£1.59亿 - £1.88亿;159.0;188.0;173.5;76.2;90.8;87.2;55.2;67.5;62.2;80.2;74.0;19;10;14;18;9;3;16;8;14;18;13;17;15;16;11;15;13;13;9;16;16;13;18;16;15;17;15;19;19;10;16;17;15;16;10;9;129.9;1.04;1.03;1.05;146.1;116.9;175.3;球星池;0;PASS;未知;;中场/前腰 (中)
49039004;现役;William Saliba;法国;Arsenal;英超;英超;manual;23;192;还行;精准;右脚;中后卫;;;中后卫;1.0;0.95;0.9;78.2;;;£1.57亿 - £1.95亿;157.0;195.0;176.0;55.8;67.8;69.5;83.2;73.2;80.8;79.5;75.2;16;18;10;13;16;6;11;16;5;15;9;12;10;5;17;16;15;16;16;16;14;14;18;11;10;8;15;12;17;16;16;16;15;19;15;15;111.5;1.0;1.0;1.05;117.1;93.7;140.5;球星池;0;PASS;未知;;后卫 (中)
2000256231;现役;Lamine Yamal;西班牙;Barcelona;西甲;西甲;manual;17;180;精准;还行;左脚;右边锋;;右边前卫;右边锋;1.0;0.95;0.9;77.5;;69.8;£1.45亿 - £1.67亿;145.0;167.0;156.0;70.2;88.2;93.8;39.5;77.2;61.5;72.8;66.5;19;6;14;17;5;6;14;7;13;19;13;19;17;14;11;13;15;14;9;16;18;16;15;19;12;15;12;18;13;7;17;16;14;15;11;9;105.5;1.05;1.0;1.05;116.3;93.0;139.6;球星池;0;PASS;前腰 (右);;中场/前腰 (右)
83261910;现役;Nuno Mendes;葡萄牙;Paris Saint-Germain;法甲;法甲;manual;22;176;精准;不错;左脚;左翼卫;;左后卫;左翼卫;1.0;0.95;0.9;70.4;;63.4;£1.41亿 - £1.89亿;141.0;189.0;165.0;57.8;69.0;72.0;65.0;87.0;67.2;66.0;64.2;14;14;9;14;12;11;10;9;13;15;10;15;15;13;13;15;18;16;10;14;15;18;14;12;8;14;15;13;12;13;14;13;12;14;12;15;56.2;1.0;1.0;1.05;59.0;47.2;70.8;强援池;0;PASS;未知;;后卫/翼卫 (左)
14183207;现役;Julián Álvarez;阿根廷;Atlético Madrid;西甲;西甲;manual;24;170;强势;精准;左脚;中锋、前腰;左边锋、右边锋;;中锋;1.0;0.95;0.9;74.0;70.3;;£1.31亿 - £1.59亿;131.0;159.0;145.0;79.2;74.2;76.0;49.5;75.0;64.8;71.3;73.2;15;9;15;15;7;6;16;11;17;16;16;15;13;14;12;16;14;15;7;13;15;16;16;16;10;16;16;14;16;8;15;16;15;15;15;11;78.6;1.08;1.0;1.05;89.1;71.3;106.9;球星池;0;PASS;前锋 (中);前腰 (右左中);前腰 (右左中), 前锋 (中)
2000049413;现役;Gavi;西班牙;Barcelona;西甲;西甲;manual;20;173;不错;精准;右脚;后腰;;中前卫、前腰;后腰;1.0;0.95;0.9;71.1;;64.0;£1.24亿 - £1.52亿;124.0;152.0;138.0;62.0;73.5;72.0;67.8;64.2;68.8;69.2;87.2;15;14;9;15;12;8;11;6;11;14;11;14;13;12;14;14;12;15;7;15;15;13;15;14;14;16;18;15;16;12;19;14;15;12;19;19;60.2;1.03;1.0;1.05;65.1;52.1;78.1;强援池;0;PASS;未知;;后腰, 中场/前腰 (中)
37071197;现役;Ryan Gravenberch;荷兰;Liverpool;英超;英超;manual;22;190;还行;精准;右脚;前腰;;后腰、中前卫;前腰;1.0;0.95;0.9;71.6;;64.4;£1.24亿 - £1.52亿;124.0;152.0;138.0;58.2;73.0;77.8;66.8;74.2;68.5;73.8;68.5;16;13;10;15;12;7;10;12;10;15;9;15;11;11;13;15;14;14;12;15;18;15;16;15;7;14;15;14;15;14;15;14;14;16;13;13;63.1;1.04;1.0;1.05;68.9;55.1;82.7;强援池;0;PASS;未知;前腰 (中);后腰, 中场/前腰 (中)
28124573;现役;Levi Colwill;英格兰;Chelsea;英超;英超;manual;21;187;精准;还行;左脚;中后卫;左后卫;;中后卫;1.0;0.95;0.9;70.0;66.5;;£1.19亿 - £1.46亿;119.0;146.0;132.5;38.2;70.5;62.0;72.5;73.0;73.0;69.8;64.2;15;15;8;16;14;9;2;15;3;14;5;11;7;3;16;14;15;14;15;15;12;15;13;6;13;11;15;12;12;15;11;15;16;16;12;12;54.0;1.0;1.0;1.05;56.7;45.4;68.0;强援池;0;PASS;未知;后卫 (左);后卫 (左中)
28120042;现役;Cole Palmer;英格兰;Chelsea;英超;英超;manual;22;189;精准;还行;左脚;前腰、右边锋;左边锋;;前腰;1.0;0.95;0.9;77.4;73.5;;£1.15亿 - £1.63亿;115.0;163.0;139.0;81.5;82.2;87.0;43.0;76.5;63.8;75.2;51.2;18;8;20;15;6;3;15;8;15;19;18;17;16;13;9;17;15;13;13;16;16;15;15;16;7;13;13;16;11;8;10;18;12;19;8;8;104.6;1.04;1.0;1.05;114.3;91.4;137.2;球星池;0;PASS;前腰 (右中);前腰 (左);前腰 (右左中)
67288555;现役;Xavi Simons;荷兰;Tottenham Hotspur;英超;英超;manual;21;179;还行;精准;右脚;前腰、左边锋、右边锋;;中前卫;前腰;1.0;0.95;0.9;70.7;;63.6;£1.15亿 - £1.49亿;115.0;149.0;132.0;64.8;75.5;80.5;48.0;73.2;61.2;63.5;67.7;16;9;13;16;8;5;14;9;13;16;12;17;11;13;10;15;14;15;10;12;16;15;13;16;10;13;13;15;13;9;17;12;12;14;12;15;57.9;1.04;1.0;1.05;63.2;50.6;75.8;强援池;0;PASS;未知;前腰 (右左);中场 (中), 前腰 (右左中)
28126241;现役;Oscar Bobb;挪威;Fulham;英超;英超;manual;21;174;精准;不错;左脚;左边锋;右边前卫;中前卫、前腰、右边锋;左边锋;1.0;0.95;0.9;65.1;61.8;58.6;£1.11亿 - £1.37亿;111.0;137.0;124.0;59.3;64.8;71.0;45.5;71.8;54.0;65.5;62.0;14;6;10;13;7;4;11;6;10;13;11;15;9;12;8;13;14;14;8;12;15;15;13;15;7;13;14;13;14;12;13;13;13;14;11;12;31.6;1.05;1.0;1.05;34.9;27.9;41.9;主力池;0;PASS;未知;中场 (右), 前腰 (左);中场 (右中), 前腰 (右左中)
2000053516;现役;Adam Wharton;英格兰;Crystal Palace;英超;英超;manual;20;182;精准;强势;右脚;中前卫;;后腰;中前卫;1.0;0.95;0.9;67.9;;61.1;£1.08亿 - £1.73亿;108.0;173.0;140.5;51.2;77.5;70.0;61.5;62.8;62.5;71.2;66.2;15;12;10;16;12;2;9;9;13;15;7;13;13;13;12;13;12;14;11;13;13;13;14;14;7;13;15;16;15;12;14;15;13;15;12;14;43.4;1.02;1.0;1.05;46.5;37.2;55.8;强援池;0;PASS;未知;;后腰, 中场 (中)
2000031901;现役;Kevin;巴西;Fulham;英超;英超;manual;22;176;欠佳;精准;右脚;左边锋;右边锋;;左边锋;1.0;0.95;0.9;68.6;65.2;;£1.08亿 - £1.33亿;108.0;133.0;120.5;66.5;66.2;79.5;39.2;78.0;57.7;58.2;57.0;16;7;12;13;6;5;11;9;11;15;14;16;12;12;11;13;15;12;8;14;16;17;13;18;9;15;12;12;11;8;14;12;8;13;11;10;46.8;1.05;1.0;1.05;51.6;41.3;61.9;强援池;0;PASS;未知;前腰 (右);前腰 (右左)
28127254;现役;Elliot Anderson;英格兰;Nottingham Forest;英超;英超;manual;22;179;不错;精准;右脚;前腰;左边锋;后腰、中前卫;前腰;1.0;0.95;0.9;66.8;63.5;60.1;£1.01亿 - £1.62亿;101.0;162.0;131.5;61.2;65.8;70.0;61.8;66.0;66.2;65.5;79.8;14;13;11;13;10;3;12;9;12;13;12;15;11;12;14;15;12;13;8;14;14;14;12;13;12;13;17;13;15;13;19;14;14;13;15;14;38.5;1.04;1.0;1.05;42.0;33.6;50.4;强援池;0;PASS;未知;前腰 (左中);后腰, 中场 (中), 前腰 (左中)
67287665;现役;Álex Baena;西班牙;Atlético Madrid;西甲;西甲;manual;23;174;强势;精准;左脚;前腰;中前卫、右边锋;左边锋;前腰;1.0;0.95;0.9;70.6;67.1;63.5;£1.01亿 - £1.24亿;101.0;124.0;112.5;63.5;84.2;75.2;48.2;65.5;58.5;66.8;61.3;16;9;10;17;8;9;13;10;15;17;14;14;14;14;11;13;13;15;7;13;14;13;12;14;11;12;12;18;11;10;14;16;12;11;11;15;57.3;1.04;1.0;1.05;62.6;50.1;75.1;强援池;0;PASS;未知;中场 (中), 前腰 (右);中场 (中), 前腰 (右左中)
2000211997;现役;Álex Jiménez;西班牙;Bournemouth;英超;英超;manual;19;175;还行;精准;右脚;右边锋;右边前卫;左后卫、左翼卫、右后卫、右翼卫;右边锋;1.0;0.95;0.9;62.6;59.5;56.3;£1.01亿 - £1.24亿;101.0;124.0;112.5;54.2;58.5;65.0;55.5;75.8;59.5;54.5;68.2;13;12;7;12;9;6;12;6;4;12;8;14;12;6;10;14;14;14;7;13;15;17;14;10;10;15;14;11;13;10;15;10;11;9;15;16;23.1;1.05;1.0;1.05;25.5;20.4;30.6;主力池;0;PASS;未知;中场/前腰 (右);后卫/翼卫 (右左), 中场/前腰 (右)
43295814;现役;Dejan Kulusevski;瑞典;Tottenham Hotspur;英超;英超;manual;24;186;精准;不错;左脚;前腰、右边锋;中前卫;右边前卫;前腰;1.0;0.95;0.9;71.0;67.5;63.9;£1亿 - £1.6亿;100.0;160.0;130.0;67.8;74.5;79.8;37.0;70.2;75.5;64.2;68.2;16;7;11;15;4;4;11;7;9;17;14;16;13;11;17;18;14;14;12;17;14;13;15;15;12;15;17;14;17;6;15;14;12;14;8;7;59.6;1.04;1.0;1.05;65.1;52.1;78.1;强援池;0;PASS;未知;中场 (中);中场/前腰 (右中)
28121372;现役;Ian Maatsen;荷兰;Aston Villa;英超;英超;manual;22;178;精准;还行;左脚;左翼卫;;左后卫;左翼卫;1.0;0.95;0.9;67.9;;61.1;£1亿 - £1.6亿;100.0;160.0;130.0;63.5;69.0;70.0;63.2;78.5;60.0;66.0;66.0;15;13;11;14;12;12;11;9;13;14;13;13;14;12;10;14;16;14;9;13;15;16;14;14;7;13;15;13;15;13;14;13;11;14;13;14;43.4;1.0;1.0;1.05;45.6;36.5;54.7;强援池;0;PASS;未知;;后卫/翼卫 (左)
71110357;现役;Yehor Yarmoliuk;乌克兰;Brentford;英超;英超;manual;20;180;不错;精准;右脚;后腰;前腰;中前卫;后腰;1.0;0.95;0.9;66.4;63.1;59.8;£1亿 - £1.23亿;100.0;123.0;111.5;51.2;64.8;64.5;66.3;66.5;67.8;67.8;74.0;13;13;9;13;12;9;8;13;9;13;8;13;12;10;12;16;13;15;11;13;13;13;14;12;8;13;18;13;14;14;16;13;14;14;15;13;36.8;1.03;1.0;1.05;39.8;31.8;47.8;主力池;0;PASS;未知;前腰 (中);后腰, 中场/前腰 (中)
67217524;现役;Rodri;西班牙;Manchester City;英超;英超;manual;28;191;不错;精准;右脚;后腰、中前卫;中后卫;;后腰;1.0;0.95;0.9;76.7;72.9;;£9900万 - £1.58亿;99.0;158.0;128.5;72.2;77.0;66.0;79.5;68.8;78.3;85.5;73.8;14;17;8;16;13;7;15;13;8;15;13;13;8;4;16;17;13;16;17;12;13;14;17;9;13;14;16;16;16;17;13;18;17;20;15;13;98.9;1.03;1.0;1.05;106.9;85.5;128.3;球星池;0;PASS;后腰;后卫 (中);后卫 (中), 后腰
43424738;现役;Riccardo Calafiori;意大利;Arsenal;英超;英超;manual;22;188;精准;还行;左脚;中后卫;;左后卫;中后卫;1.0;0.95;0.9;71.9;;64.7;£9900万 - £1.58亿;99.0;158.0;128.5;58.5;71.2;68.8;73.8;70.0;71.2;74.5;70.2;15;15;7;15;14;14;12;14;6;14;9;13;12;4;14;15;14;15;14;14;13;14;17;13;10;13;14;13;16;15;15;15;14;15;13;15;64.9;1.0;1.0;1.05;68.2;54.6;81.8;强援池;0;PASS;未知;;后卫 (左中)
92039023;现役;Joshua Kimmich;德国;Bayern Munich;德甲;德甲;manual;29;177;不错;精准;右脚;后腰;右翼卫;右后卫、中前卫;后腰;1.0;0.95;0.9;75.1;71.3;67.6;£9900万 - £1.29亿;99.0;129.0;114.0;67.0;86.0;69.8;66.8;65.2;73.5;79.0;88.2;16;13;15;18;12;14;14;12;15;15;11;13;18;16;12;18;13;20;11;13;12;12;17;12;18;13;18;18;19;13;20;16;14;17;15;15;86.5;1.03;1.0;1.05;93.5;74.8;112.2;球星池;0;PASS;后腰;翼卫 (右);后卫/翼卫 (右), 后腰, 中场 (中)
2000166563;现役;Carlos Baleba;喀麦隆;Brighton;英超;英超;manual;21;183;精准;还行;左脚;后腰;;中前卫;后腰;1.0;0.95;0.9;68.3;;61.5;£9800万 - £1.27亿;98.0;127.0;112.5;56.0;69.0;69.2;69.0;72.2;71.5;68.8;61.5;14;15;7;14;13;5;13;10;8;14;9;14;12;6;16;15;15;14;13;13;13;14;14;14;7;11;14;14;13;14;12;13;12;15;13;14;45.3;1.03;1.0;1.05;49.0;39.2;58.8;强援池;0;PASS;未知;;后腰, 中场 (中)
86075795;现役;Willian Pacho;厄瓜多尔;Paris Saint-Germain;法甲;法甲;manual;23;188;精准;还行;左脚;中后卫;左后卫;;中后卫;1.0;0.95;0.9;74.9;71.2;;£9700万 - £1.25亿;97.0;125.0;111.0;43.5;65.8;59.8;78.8;71.7;80.5;73.5;75.5;12;16;6;14;16;8;6;15;4;13;6;11;8;3;18;15;15;15;16;15;12;14;16;11;10;10;15;13;15;15;16;15;15;15;17;16;85.0;1.0;1.0;1.05;89.3;71.4;107.2;球星池;0;PASS;未知;后卫 (左);后卫 (左中)
43298481;现役;Sandro Tonali;意大利;Newcastle;英超;英超;manual;24;181;不错;精准;右脚;后腰;;中前卫;后腰;1.0;0.95;0.9;73.4;;66.1;£9700万 - £1.2亿;97.0;120.0;108.5;59.2;75.5;72.5;73.8;67.0;70.0;75.0;83.0;15;15;12;16;13;9;12;9;13;16;9;14;13;14;14;16;13;14;9;15;14;13;15;12;13;13;19;14;19;16;16;15;15;16;16;15;74.5;1.03;1.0;1.05;80.6;64.5;96.7;球星池;0;PASS;未知;;后腰, 中场 (中)
2000035036;现役;Alejandro Garnacho;阿根廷;Chelsea;英超;英超;manual;20;180;强势;精准;左脚;左边锋;右边锋;;左边锋;1.0;0.95;0.9;66.1;62.8;;£9600万 - £1.53亿;96.0;153.0;124.5;64.2;56.8;74.5;32.5;83.0;61.5;49.0;60.2;14;5;14;12;4;3;12;5;10;14;13;16;12;8;10;15;17;14;8;14;15;17;11;16;4;14;14;9;10;6;14;8;10;13;14;15;35.6;1.05;1.0;1.05;39.2;31.4;47.0;主力池;0;PASS;未知;前腰 (右);前腰 (右左)
19302146;现役;Vinícius Júnior;巴西;Real Madrid;西甲;西甲;manual;24;176;不错;精准;右脚;左边锋;中锋;;左边锋;1.0;0.95;0.9;75.5;71.7;;£9600万 - £1.53亿;96.0;153.0;124.5;72.5;70.0;84.2;37.5;90.2;69.5;60.8;70.2;16;6;14;15;3;4;12;12;8;15;16;19;13;7;12;16;18;15;8;17;17;19;15;16;13;15;10;12;9;8;20;12;10;13;17;17;89.5;1.05;1.0;1.05;98.6;78.9;118.3;球星池;0;PASS;前腰 (左);前锋 (中);前腰 (左), 前锋 (中)
49056243;现役;Eduardo Camavinga;法国;Real Madrid;西甲;西甲;manual;22;185;精准;还行;左脚;后腰、中前卫;左后卫;;左后卫;1.0;0.95;0.9;73.7;70.0;;£9600万 - £1.24亿;96.0;124.0;110.0;59.3;71.0;70.5;73.5;82.2;78.0;67.5;76.8;15;16;7;15;14;13;12;13;6;15;10;13;13;6;16;17;17;16;13;15;15;16;15;12;13;14;16;13;16;14;16;13;13;13;16;15;76.5;0.98;1.0;1.05;78.8;63.0;94.6;球星池;0;PASS;未知;后卫 (左), 中场 (中);后卫 (左), 后腰, 中场 (中)
28108494;现役;Phil Foden;英格兰;Manchester City;英超;英超;manual;24;171;精准;还行;左脚;前腰、左边锋、右边锋;;中前卫;前腰;1.0;0.95;0.9;76.1;;68.5;£9500万 - £1.51亿;95.0;151.0;123.0;71.5;82.5;84.0;50.8;79.5;58.8;72.5;65.8;17;8;12;17;8;5;13;8;13;17;14;17;13;13;9;14;16;14;7;15;17;16;14;16;8;16;14;17;15;11;14;14;15;16;13;7;94.1;1.04;1.0;1.05;102.7;82.2;123.2;球星池;0;PASS;前腰 (左中);前腰 (右);中场 (中), 前腰 (右左中)
78074594;现役;Federico Valverde;乌拉圭;Real Madrid;西甲;西甲;manual;26;182;不错;精准;右脚;中前卫、右边前卫;后腰、右边锋;;中前卫;1.0;0.95;0.9;72.1;68.5;;£9500万 - £1.51亿;95.0;151.0;123.0;70.5;69.5;67.8;70.5;84.5;77.0;67.8;83.8;14;15;11;15;13;10;17;12;14;14;13;12;12;13;14;18;17;17;12;15;15;17;15;14;14;14;18;13;18;13;18;13;14;13;17;12;66.2;1.02;1.0;1.05;70.8;56.6;85.0;球星池;0;PASS;中场 (中);后腰, 中场/前腰 (右);后腰, 中场 (右中), 前腰 (右)
2000198043;现役;Tyler Dibling;英格兰;Everton;英超;英超;manual;18;178;精准;还行;左脚;右边锋;前腰;;右边锋;1.0;0.95;0.9;66.1;62.8;;£9500万 - £1.24亿;95.0;124.0;109.5;57.7;70.0;77.8;41.8;71.2;62.3;60.0;50.7;15;7;7;14;7;9;13;7;9;15;10;17;13;13;14;12;15;11;10;16;14;14;11;15;7;13;10;14;10;9;12;12;11;14;10;7;35.6;1.05;1.0;1.05;39.2;31.4;47.0;主力池;0;PASS;未知;前腰 (中);前腰 (右中)
2000011147;现役;Miloš Kerkez;匈牙利;Liverpool;英超;英超;manual;21;176;精准;欠佳;左脚;左后卫;左边前卫;左翼卫;左后卫;1.0;0.95;0.9;69.6;66.1;62.6;£9500万 - £1.24亿;95.0;124.0;109.5;53.5;65.8;68.0;70.3;77.2;69.5;66.8;76.3;14;15;7;13;13;11;10;8;8;14;7;13;14;9;13;16;15;15;10;14;15;16;14;12;7;16;17;12;16;14;17;14;13;13;16;16;51.9;0.98;1.0;1.05;53.4;42.7;64.1;强援池;0;PASS;未知;中场 (左);后卫/翼卫/中场 (左)
49062667;现役;Hugo Ekitiké;法国;Liverpool;英超;英超;manual;22;190;不错;精准;右脚;左边锋;;中锋;左边锋;1.0;0.95;0.9;71.9;;64.7;£9500万 - £1.24亿;95.0;124.0;109.5;69.8;74.0;78.5;41.5;78.5;66.7;64.2;64.0;16;7;13;15;6;5;13;14;11;16;14;15;10;6;13;13;16;12;14;16;16;16;15;16;10;15;13;15;14;7;14;13;12;13;12;12;64.9;1.05;1.0;1.05;71.6;57.3;85.9;球星池;0;PASS;未知;前腰 (左);前腰 (左), 前锋 (中)
18106083;现役;Jérémy Doku;比利时;Manchester City;英超;英超;manual;22;171;不错;精准;右脚;左边锋、右边锋;;中锋;左边锋;1.0;0.95;0.9;70.1;;63.1;£9500万 - £1.23亿;95.0;123.0;109.0;57.8;69.5;78.5;41.0;83.8;64.0;65.2;62.8;15;7;14;14;5;5;9;5;8;13;11;18;12;11;14;13;16;15;8;13;16;19;13;17;6;13;14;13;15;8;12;16;13;13;13;13;54.5;1.05;1.0;1.05;60.1;48.1;72.1;强援池;0;PASS;前腰 (左);前腰 (右);前腰 (右左), 前锋 (中)
