Unique ID;球员类型;名字;国家或地区;俱乐部;联赛;联赛键;联赛可信度;年龄;身高(cm);左脚;右脚;主力脚;最佳位置;第二位置;其他可用位置;定价位置;最佳位置倍率;第二位置倍率;其他位置倍率;最佳位置能力;第二位置能力;其他位置能力;FM身价原文;FM身价下限(百万英镑);FM身价上限(百万英镑);FM身价中位(百万英镑);评分_扑救;评分_一对一;评分_制空;评分_指挥;评分_出击;评分_出球;评分_身体;评分_精神;FM_罚点球;FM_传球;FM_制空范围;FM_拦截传中;FM_指挥防守;FM_意外性;FM_手控球;FM_停球;FM_大脚开球;FM_一对一;FM_击球;FM_反应;FM_强壮;FM_出击(倾向);FM_速度;FM_体质;FM_弹跳;FM_平衡;FM_灵活;FM_爆发力;FM_预判;FM_领导力;FM_手抛球;FM_工作投入;FM_视野;FM_团队合作;FM_选位;FM_意志力;FM_决断;FM_集中;FM_镇定;FM_勇敢;FM_侵略性;模型价格(百万欧元);位置稀缺系数;巨星系数;FM身价修正;基础价格(百万欧元);本局价格下限(百万欧元);本局价格上限(百万欧元);价格池;缺失FM属性数;校验状态;原最佳位置;原第二位置;原全部位置
62216198;现役;Đorđe Petrović;塞尔维亚;Bournemouth;英超;英超;manual;25;194;欠佳;精准;右脚;门将;;;门将;1.0;0.95;0.9;66.5;;;£3800万 - £6000万;38.0;60.0;49.0;74.5;67.8;69.8;60.0;60.5;59.0;61.5;62.5;2;11;15;12;13;9;13;11;13;13;13;17;14;10;14;5;16;13;13;11;14;7;11;12;12;13;15;3;13;13;14;13;11;37.2;0.92;1.0;1.05;36.0;28.8;43.2;主力池;0;PASS;未知;;门将
83169226;现役;Diogo Costa;葡萄牙;Porto;葡超;葡超;manual;25;186;不错;精准;右脚;门将;;;门将;1.0;0.95;0.9;71.9;;;£3700万 - £5900万;37.0;59.0;48.0;74.8;78.8;61.3;79.0;72.5;62.0;65.2;75.5;2;14;13;14;18;7;15;11;11;16;9;16;12;17;12;14;13;12;15;12;16;16;12;13;14;14;12;14;14;16;18;14;14;64.9;0.92;1.0;0.987;58.9;47.1;70.7;强援池;0;PASS;未知;;门将
28104130;现役;Caoimhin Kelleher;爱尔兰;Brentford;英超;英超;manual;26;188;欠佳;精准;右脚;门将;;;门将;1.0;0.95;0.9;67.4;;;£3500万 - £5600万;35.0;56.0;45.5;76.0;72.0;62.3;51.5;66.0;64.5;65.8;67.8;5;13;14;13;9;7;15;14;14;14;17;17;12;13;12;13;12;14;15;13;15;11;13;12;8;7;14;15;13;12;14;13;10;41.1;0.92;1.0;1.029;39.0;31.2;46.8;主力池;0;PASS;未知;;门将
2000277341;现役;Julian Eyestone;美国;Brentford;英超;英超;manual;18;200;还行;精准;右脚;门将;;;门将;1.0;0.95;0.9;58.0;;;£3500万 - £4400万;35.0;44.0;39.5;57.5;56.8;75.0;47.2;52.0;53.0;64.8;54.0;1;11;17;11;10;6;12;10;10;11;8;12;14;11;9;12;18;12;12;10;11;6;12;11;10;11;11;14;10;10;9;13;11;11.7;0.92;1.0;1.05;11.3;9.0;13.6;基础池;0;PASS;未知;;门将
2000039995;现役;Antonín Kinský;捷克;Tottenham Hotspur;英超;英超;manual;21;190;欠佳;精准;右脚;门将;;;门将;1.0;0.95;0.9;66.9;;;£3400万 - £4400万;34.0;44.0;39.0;68.0;71.2;70.5;60.5;65.2;67.0;58.0;65.2;6;15;14;17;12;13;13;11;17;13;7;15;14;18;9;7;14;12;12;10;12;11;11;7;10;12;13;15;13;13;13;13;5;38.9;0.92;1.0;1.017;36.4;29.1;43.7;主力池;0;PASS;未知;;门将
2000056845;现役;James Beadle;英格兰;Birmingham;英冠;英冠;majority_high;20;201;还行;精准;右脚;门将;;;门将;1.0;0.95;0.9;60.2;;;£3300万 - £4000万;33.0;40.0;36.5;62.0;60.8;66.2;51.0;58.8;55.2;66.0;59.0;3;12;14;10;10;12;13;9;14;12;15;13;12;12;13;15;14;12;15;10;9;7;8;11;11;12;13;13;11;11;15;12;9;16.5;0.92;1.0;1.05;15.9;12.7;19.1;基础池;0;PASS;未知;;门将
52094936;现役;Gavin Bazunu;爱尔兰;Stoke;英冠;英冠;majority_high;22;189;欠佳;精准;右脚;门将;;;门将;1.0;0.95;0.9;60.8;;;£3000万 - £4800万;30.0;48.0;39.0;63.7;64.8;61.7;53.8;56.8;63.5;61.0;54.0;1;13;14;13;13;4;15;11;15;14;9;14;10;11;11;13;13;13;13;12;11;7;12;11;12;12;11;15;11;8;11;11;8;18.0;0.92;1.0;1.05;17.4;13.9;20.9;基础池;0;PASS;未知;;门将
19226197;现役;Lucas Perri;巴西;Leeds;英超;英超;manual;27;197;欠佳;精准;右脚;门将;;;门将;1.0;0.95;0.9;66.4;;;£2900万 - £3600万;29.0;36.0;32.5;72.8;65.5;73.2;56.8;55.3;60.0;71.5;66.0;1;10;15;12;11;8;14;10;10;14;18;15;15;9;11;16;18;13;13;11;14;8;18;14;12;12;15;14;12;14;12;12;6;36.8;0.92;1.0;1.003;34.0;27.2;40.8;主力池;0;PASS;未知;;门将
85094520;现役;Mike Maignan;法国;AC Milan;意甲;意甲;manual;29;191;还行;精准;右脚;门将;;;门将;1.0;0.95;0.9;72.2;;;£2700万 - £4300万;27.0;43.0;35.0;78.0;75.5;67.5;73.0;59.5;70.0;72.8;74.0;8;14;13;14;16;12;15;12;16;16;9;17;15;11;10;16;15;14;17;9;16;14;14;11;13;14;15;18;13;13;16;15;12;66.8;0.92;1.0;0.961;59.1;47.3;70.9;强援池;0;PASS;未知;;门将
39053746;现役;Hákon Rafn Valdimarsson;冰岛;Brentford;英超;英超;manual;23;188;还行;精准;右脚;门将;;;门将;1.0;0.95;0.9;65.3;;;£2600万 - £4200万;26.0;42.0;34.0;68.5;68.8;65.5;58.0;63.0;60.0;61.2;68.8;4;11;14;14;12;5;14;11;13;13;8;14;12;15;10;12;15;12;12;11;13;8;12;13;12;12;13;15;13;14;14;15;10;32.4;0.92;1.0;1.023;30.5;24.4;36.6;主力池;0;PASS;未知;;门将
29156212;现役;Robert Sánchez;西班牙;Chelsea;英超;英超;manual;27;197;不错;精准;右脚;门将;;;门将;1.0;0.95;0.9;68.0;;;£2600万 - £4200万;26.0;42.0;34.0;68.0;74.0;82.2;52.2;64.2;63.5;73.2;59.3;2;11;17;17;11;15;14;11;15;15;10;16;16;14;12;15;18;12;14;13;11;7;14;9;11;12;12;10;12;10;14;15;8;43.9;0.92;1.0;0.991;40.0;32.0;48.0;强援池;0;PASS;未知;;门将
2000162595;现役;Max Weiß;德国;Burnley;英超;英超;manual;20;190;欠佳;精准;右脚;门将;;;门将;1.0;0.95;0.9;63.3;;;£2400万 - £3200万;24.0;32.0;28.0;63.0;70.0;64.5;59.0;58.5;62.2;68.0;60.0;4;12;13;12;12;10;12;12;13;14;10;14;15;16;9;15;16;14;13;8;11;12;14;15;12;12;12;16;10;12;11;15;13;25.3;0.92;1.0;1.029;24.0;19.2;28.8;轮换池;0;PASS;未知;;门将
12029963;现役;Yassine Bounou;摩洛哥;Al-Hilal;沙特联;沙特联;manual;33;195;精准;欠佳;左脚;门将;;;门将;1.0;0.95;0.9;70.5;;;£2300万 - £3000万;23.0;30.0;26.5;76.2;72.0;75.3;74.2;55.0;57.5;65.2;74.0;5;10;14;16;15;4;16;7;13;16;11;15;14;9;11;15;18;9;13;8;15;14;15;12;8;16;15;15;14;15;15;15;7;56.7;0.92;1.0;0.955;49.8;39.8;59.8;强援池;0;PASS;未知;;门将
29137172;现役;Aaron Ramsdale;英格兰;Newcastle;英超;英超;manual;26;190;欠佳;精准;右脚;门将;;;门将;1.0;0.95;0.9;65.6;;;£2200万 - £3500万;22.0;35.0;28.5;68.3;70.5;67.0;63.2;52.5;67.2;63.5;64.8;3;12;14;14;13;10;14;12;15;15;10;15;15;11;7;11;14;12;15;8;13;12;15;10;13;14;12;17;12;12;12;15;12;33.6;0.92;1.0;0.999;30.9;24.7;37.1;主力池;0;PASS;未知;;门将
28126242;现役;James Trafford;英格兰;Manchester City;英超;英超;manual;22;197;欠佳;精准;右脚;门将;;;门将;1.0;0.95;0.9;66.8;;;£2000万 - £3200万;20.0;32.0;26.0;70.0;69.0;71.3;62.7;62.5;60.8;69.5;62.0;2;11;15;13;12;11;13;9;14;14;12;15;13;13;13;15;15;15;13;13;11;12;14;12;12;13;15;12;11;14;11;14;11;38.5;0.92;1.0;0.979;34.7;27.8;41.6;主力池;0;PASS;未知;;门将
84159755;现役;Marvin Keller;瑞士;Young Boys;瑞士超;瑞士超;majority_medium;22;189;还行;精准;右脚;门将;;;门将;1.0;0.95;0.9;66.3;;;£1400万 - £1800万;14.0;18.0;16.0;73.2;71.0;67.5;58.5;58.8;58.5;62.8;65.2;3;12;15;14;12;9;15;8;12;14;8;16;12;14;8;13;15;13;14;8;14;9;14;12;10;12;13;13;13;13;13;12;10;36.4;0.92;1.0;0.951;31.8;25.4;38.2;主力池;0;PASS;未知;;门将
92067270;现役;Timon Wellenreuther;德国;Feyenoord;荷甲;荷甲;manual;29;186;欠佳;精准;右脚;门将;;;门将;1.0;0.95;0.9;66.1;;;£1350万 - £2200万;13.5;22.0;17.75;66.8;71.5;62.3;69.2;64.5;60.2;64.0;67.2;5;11;13;14;14;10;13;6;15;15;13;14;12;14;12;14;14;14;11;13;13;14;15;15;9;15;13;15;13;13;14;14;8;35.6;0.92;1.0;0.958;31.4;25.1;37.7;主力池;0;PASS;未知;;门将
29091453;现役;Christian Walton;英格兰;Ipswich;英冠;英冠;majority_high;29;195;精准;欠佳;左脚;门将;;;门将;1.0;0.95;0.9;64.9;;;£1300万 - £1600万;13.0;16.0;14.5;66.3;62.0;76.0;66.3;48.8;66.8;59.0;65.3;1;13;17;15;15;5;14;12;15;12;10;13;10;11;5;13;18;12;13;5;13;11;14;12;10;12;13;13;14;13;12;13;10;30.9;0.92;1.0;0.955;27.1;21.7;32.5;主力池;0;PASS;未知;;门将
27120988;现役;Mads Hermansen;丹麦;West Ham;英超;英超;manual;24;187;还行;精准;右脚;门将;;;门将;1.0;0.95;0.9;63.9;;;£1250万 - £2000万;12.5;20.0;16.25;69.0;66.2;57.3;62.2;59.0;63.2;66.2;63.8;5;12;11;12;12;12;12;12;13;13;12;16;12;11;11;16;14;12;14;12;13;11;14;12;12;15;13;12;12;13;14;12;12;27.3;0.92;1.0;0.97;24.4;19.5;29.3;轮换池;0;PASS;未知;;门将
93060236;现役;Viktor Johansson;瑞典;Stoke;英冠;英冠;majority_high;26;186;欠佳;精准;右脚;门将;;;门将;1.0;0.95;0.9;65.5;;;£1150万 - £1850万;11.5;18.5;15.0;72.5;72.2;64.2;61.5;59.2;57.2;61.2;60.2;3;11;15;14;13;11;15;11;12;14;11;17;12;14;11;15;13;12;11;11;12;12;12;12;12;13;12;15;10;12;11;15;5;33.2;0.92;1.0;0.953;29.1;23.3;34.9;主力池;0;PASS;未知;;门将
28116414;现役;Vítězslav Jaroš;捷克;Ajax;荷甲;荷甲;manual;23;190;欠佳;精准;右脚;门将;;;门将;1.0;0.95;0.9;62.6;;;£1050万 - £1650万;10.5;16.5;13.5;68.0;64.5;64.3;56.5;55.5;54.0;66.2;64.0;1;11;14;13;12;6;14;6;12;13;15;14;13;10;9;15;13;14;14;11;13;7;13;12;8;12;13;13;13;13;11;14;11;23.1;0.92;1.0;0.968;20.6;16.5;24.7;轮换池;0;PASS;未知;;门将
36137769;现役;Christos Mandas;希腊;Bournemouth;英超;英超;manual;23;189;还行;精准;右脚;门将;;;门将;1.0;0.95;0.9;63.1;;;£1050万 - £1300万;10.5;13.0;11.75;76.8;64.2;59.3;50.8;55.0;53.0;60.8;64.8;4;9;12;12;11;6;15;10;10;12;10;18;12;7;12;10;13;12;13;13;13;3;11;13;13;12;14;16;13;12;12;12;9;24.7;0.92;1.0;0.956;21.7;17.4;26.0;轮换池;0;PASS;未知;;门将
93122428;现役;Oliver Dovin;瑞典;Coventry;英冠;英冠;majority_high;22;188;欠佳;精准;右脚;门将;;;门将;1.0;0.95;0.9;60.3;;;£1000万 - £1650万;10.0;16.5;13.25;63.7;64.8;57.2;51.8;58.5;58.0;61.8;61.5;1;13;12;12;11;7;13;11;13;13;5;14;12;11;11;12;12;12;14;12;12;6;10;11;9;12;11;14;12;12;12;14;9;16.7;0.92;1.0;0.993;15.3;12.2;18.4;基础池;0;PASS;未知;;门将
52080573;现役;Mark Travers;爱尔兰;Everton;英超;英超;manual;25;191;欠佳;精准;右脚;门将;;;门将;1.0;0.95;0.9;63.7;;;£1000万 - £1250万;10.0;12.5;11.25;74.2;62.0;62.7;58.5;53.8;59.8;60.0;62.0;4;10;14;12;13;7;15;9;14;12;7;16;11;8;11;14;13;10;13;11;14;8;14;12;11;11;14;12;12;13;10;12;8;26.6;0.92;1.0;0.95;23.3;18.6;28.0;轮换池;0;PASS;未知;;门将
28117362;现役;Jakub Stolarczyk;波兰;Leicester;英冠;英冠;majority_high;24;194;不错;精准;右脚;门将;;;门将;1.0;0.95;0.9;62.3;;;£940万 - £1500万;9.4;15.0;12.2;64.5;65.2;72.5;58.0;57.5;56.5;58.2;54.2;3;11;16;15;13;10;13;11;11;13;11;15;12;12;12;12;15;10;10;11;12;10;14;14;8;13;12;12;11;8;11;12;13;22.2;0.92;1.0;0.964;19.7;15.8;23.6;轮换池;0;PASS;未知;;门将
36078367;现役;Vasilis Barkas;希腊;FC Utrecht;荷甲;荷甲;majority_high;30;196;精准;欠佳;左脚;门将;;;门将;1.0;0.95;0.9;65.8;;;£900万 - £1200万;9.0;12.0;10.5;69.2;73.5;72.0;57.0;59.5;51.8;65.8;66.0;5;9;16;12;10;4;13;7;10;15;11;16;12;14;9;13;18;13;14;9;12;11;13;13;11;12;12;14;13;14;14;13;9;34.3;0.92;1.0;0.95;30.0;24.0;36.0;主力池;0;PASS;未知;;门将
24025298;现役;Dominik Livaković;克罗地亚;Dinamo Zagreb;克甲;克甲;manual;30;188;还行;精准;右脚;门将;;;门将;1.0;0.95;0.9;64.8;;;£820万 - £1300万;8.2;13.0;10.6;74.0;72.5;55.7;59.8;50.5;62.5;58.0;69.0;8;11;12;10;11;7;13;10;14;16;16;17;11;7;7;13;13;9;14;10;16;10;14;14;11;14;14;13;14;12;14;14;16;30.5;0.92;1.0;0.95;26.7;21.4;32.0;主力池;0;PASS;未知;;门将
2000099950;现役;Pierce Charles;北爱尔兰;Sheffield Wednesday;英冠;英冠;majority_high;19;186;不错;精准;右脚;门将;;;门将;1.0;0.95;0.9;58.8;;;£780万 - £1250万;7.8;12.5;10.15;61.5;60.0;54.5;53.5;55.8;61.8;60.2;61.5;1;13;13;8;12;5;11;12;13;12;15;13;12;9;13;12;14;10;13;10;14;6;12;11;12;12;12;14;11;12;10;15;13;13.3;0.92;1.0;0.989;12.1;9.7;14.5;基础池;0;PASS;未知;;门将
2000048047;现役;Owen Goodman;加拿大;Barnsley;英甲;英甲;majority_medium;21;194;精准;欠佳;左脚;门将;;;门将;1.0;0.95;0.9;57.0;;;£760万 - £980万;7.6;9.8;8.7;58.7;55.7;64.8;48.5;46.2;59.7;58.5;58.8;2;13;14;11;9;14;10;12;13;11;13;13;11;8;8;13;16;9;13;8;11;7;10;12;12;11;12;13;11;12;12;12;14;9.8;0.92;1.0;1.004;9.1;7.3;10.9;基础池;0;PASS;未知;;门将
2000014080;现役;Rome-Jayden Owusu-Oduro;荷兰;AZ;荷甲;荷甲;majority_high;20;190;欠佳;精准;右脚;门将;;;门将;1.0;0.95;0.9;62.4;;;£740万 - £1150万;7.4;11.5;9.45;63.0;63.5;66.7;55.5;61.3;59.5;64.5;62.2;4;13;16;12;13;8;12;7;13;12;14;14;12;12;11;12;15;12;14;13;13;6;13;12;12;13;12;14;12;10;14;14;6;22.5;0.92;1.0;0.95;19.6;15.7;23.5;轮换池;0;PASS;未知;;门将
49040115;现役;Illan Meslier;法国;Leeds;英超;英超;manual;24;196;精准;欠佳;左脚;门将;;;门将;1.0;0.95;0.9;63.6;;;£660万 - £860万;6.6;8.6;7.6;64.0;73.2;68.2;53.8;61.0;56.0;63.8;61.5;4;10;17;10;11;11;12;10;12;16;14;14;8;15;9;15;17;12;16;9;13;8;13;12;10;12;12;12;11;12;13;14;12;26.3;0.92;1.0;0.95;23.0;18.4;27.6;轮换池;0;PASS;未知;;门将
27102367;现役;Daniel Iversen;丹麦;Preston;英冠;英冠;majority_high;27;193;欠佳;精准;右脚;门将;;;门将;1.0;0.95;0.9;62.9;;;£620万 - £800万;6.2;8.0;7.1;67.8;69.2;68.8;59.0;50.8;49.8;66.5;60.0;3;6;14;13;12;4;13;10;9;15;13;16;15;9;9;12;16;13;14;9;11;11;14;12;10;12;12;14;12;12;11;13;9;24.0;0.92;1.0;0.95;21.0;16.8;25.2;轮换池;0;PASS;未知;;门将
19202603;现役;John Victor;巴西;Nottingham Forest;英超;英超;manual;28;197;欠佳;精准;右脚;门将;;;门将;1.0;0.95;0.9;64.3;;;£600万 - £780万;6.0;7.8;6.9;65.8;68.3;65.7;61.0;62.8;57.8;65.8;63.3;4;11;13;12;12;5;13;11;12;14;13;14;13;13;12;17;14;10;13;12;12;12;11;14;12;12;13;13;13;12;13;13;7;28.7;0.92;1.0;0.95;25.1;20.1;30.1;主力池;0;PASS;未知;;门将
53110248;现役;Egil Selvik;挪威;Watford;英冠;英冠;majority_high;27;187;精准;强势;右脚;门将;;;门将;1.0;0.95;0.9;62.7;;;£580万 - £940万;5.8;9.4;7.6;61.2;72.0;64.2;61.8;58.8;54.5;61.5;63.5;3;10;14;14;13;10;8;10;12;15;14;15;12;13;9;12;14;13;13;10;13;13;12;12;7;10;13;13;13;11;13;14;10;23.4;0.92;1.0;0.95;20.4;16.3;24.5;轮换池;0;PASS;未知;;门将
2000015710;现役;Jacob Widell Zetterström;瑞典;Derby;英冠;英冠;majority_high;26;197;欠佳;精准;右脚;门将;;;门将;1.0;0.95;0.9;64.0;;;£560万 - £880万;5.6;8.8;7.2;63.8;70.0;72.5;57.2;59.8;57.5;66.8;58.8;3;11;16;11;14;7;12;8;12;15;14;15;15;13;12;15;18;8;13;10;12;11;15;12;10;7;11;16;11;11;11;12;7;27.6;0.92;1.0;0.95;24.2;19.4;29.0;轮换池;0;PASS;未知;;门将
38041719;现役;Balázs Tóth;匈牙利;Blackburn;英冠;英冠;majority_high;27;189;欠佳;精准;右脚;门将;;;门将;1.0;0.95;0.9;63.3;;;£560万 - £720万;5.6;7.2;6.4;68.5;68.5;62.0;60.8;60.0;51.5;61.7;63.3;5;10;13;13;13;7;13;11;11;14;12;15;11;13;9;13;14;11;14;12;13;10;10;12;7;12;13;14;12;13;12;12;12;25.3;0.92;1.0;0.95;22.1;17.7;26.5;轮换池;0;PASS;未知;;门将
37061970;现役;Maarten Paes;印度尼西亚;Ajax;荷甲;荷甲;manual;26;191;欠佳;精准;右脚;门将;;;门将;1.0;0.95;0.9;64.2;;;£540万 - £860万;5.4;8.6;7.0;67.5;68.2;66.2;61.2;58.0;55.8;62.5;65.8;3;12;15;12;13;4;11;7;12;13;10;15;12;12;9;14;15;12;13;9;16;12;11;14;12;10;14;13;13;11;11;16;10;28.3;0.92;1.0;0.95;24.8;19.8;29.8;轮换池;0;PASS;未知;;门将
24060905;现役;Ivor Pandur;克罗地亚;Hull;英冠;英冠;majority_high;24;187;欠佳;精准;右脚;门将;;;门将;1.0;0.95;0.9;61.0;;;£500万 - £960万;5.0;9.6;7.3;64.2;63.8;64.7;61.0;56.8;46.5;65.2;59.5;2;8;15;13;12;8;13;7;9;13;14;14;10;11;12;15;16;12;15;10;10;13;13;12;7;12;12;13;11;13;12;13;8;18.5;0.92;1.0;0.95;16.2;13.0;19.4;基础池;0;PASS;未知;;门将
37065875;现役;Kjell Scherpen;荷兰;Union SG;比甲;比甲;majority_medium;24;206;不错;精准;右脚;门将;;;门将;1.0;0.95;0.9;63.1;;;£500万 - £640万;5.0;6.4;5.7;64.5;61.7;86.2;52.0;49.0;52.7;72.5;58.0;4;8;18;14;10;7;13;10;13;13;8;15;18;8;12;14;20;14;12;7;11;9;10;14;11;12;11;14;11;11;13;11;9;24.7;0.92;1.0;0.95;21.5;17.2;25.8;轮换池;0;PASS;未知;;门将
85041077;现役;Benjamin Lecomte;法国;Fulham;英超;英超;manual;33;186;精准;欠佳;左脚;门将;;;门将;1.0;0.95;0.9;63.4;;;£480万 - £940万;4.8;9.4;7.1;69.0;67.0;61.0;62.5;57.8;53.8;66.8;62.3;2;10;13;12;13;8;13;11;10;13;13;15;14;13;10;14;14;15;13;10;12;11;12;12;11;13;14;14;11;13;11;14;8;25.6;0.92;1.0;0.95;22.4;17.9;26.9;轮换池;0;PASS;未知;;门将
37039865;现役;Nick Olij;荷兰;PSV;荷甲;荷甲;manual;29;188;欠佳;精准;右脚;门将;;;门将;1.0;0.95;0.9;63.7;;;£390万 - £780万;3.9;7.8;5.85;66.7;62.5;60.7;69.8;55.5;63.8;60.8;65.8;4;12;13;13;14;8;13;6;15;12;10;14;11;10;10;14;13;12;13;10;12;15;16;15;11;13;13;12;14;14;13;13;7;26.6;0.92;1.0;0.95;23.3;18.6;28.0;轮换池;0;PASS;未知;;门将
28118905;现役;Matěj Kovář;捷克;PSV;荷甲;荷甲;manual;24;196;欠佳;精准;右脚;门将;;;门将;1.0;0.95;0.9;66.4;;;£310万 - £640万;3.1;6.4;4.75;68.0;73.2;73.5;57.8;59.8;60.5;67.0;62.0;2;13;17;12;11;16;13;6;14;15;10;15;13;16;8;15;17;12;15;8;12;11;14;12;12;12;13;13;11;13;12;14;12;36.8;0.92;1.0;0.95;32.2;25.8;38.6;主力池;0;PASS;未知;;门将
