Unique ID;球员类型;名字;俱乐部;年龄;最佳位置;第二位置;其他可用位置;定价位置（只读）;原全部位置（参考）;评分_射门;评分_传球;评分_控球;评分_防守;评分_速度;评分_身体;评分_意识;评分_意志;修改说明
62127037;现役;Sergej Milinković-Savić;Al-Hilal;29;前腰;后腰;中前卫;前腰;后腰, 中场/前腰 (中);75.8;75.8;70.3;56.0;61.0;78.2;71.5;72.5;
2000023588;现役;Michael Kayode;Brentford;20;右后卫;;右翼卫;右后卫;后卫/翼卫 (右);48.3;63.2;65.5;64.2;76.8;70.0;62.2;67.5;
28124579;现役;Jamal Musiala;Bayern Munich;21;前腰、左边锋;中前卫、右边锋;;前腰;中场 (中), 前腰 (右左中);72.2;75.8;89.0;53.8;75.5;61.5;69.2;68.2;多最佳位置复核：前腰、左边锋
28126249;现役;James McAtee;Nottingham Forest;22;右边锋;右边前卫;中前卫、前腰;右边锋;中场/前腰 (右中);62.3;70.5;77.5;43.2;72.2;58.8;61.0;60.0;
2000276594;现役;Josh King;Fulham;18;前腰;后腰;中前卫;前腰;后腰, 中场/前腰 (中);60.5;68.2;68.2;58.0;66.8;56.2;66.8;68.5;
76049803;现役;Luis Díaz;Bayern Munich;28;左边锋;左边前卫、右边锋;;左边锋;中场 (左), 前腰 (右左);74.2;75.8;84.2;51.0;77.2;67.5;67.8;79.5;
85140175;现役;Yoane Wissa;Newcastle;28;中锋;左边前卫;左边锋;中锋;中场/前腰 (左), 前锋 (中);72.5;64.5;67.5;45.5;73.5;63.8;64.5;68.8;
16202373;现役;Dominik Szoboszlai;Liverpool;24;前腰、中前卫;后腰、右边前卫;;前腰;后腰, 中场 (右中), 前腰 (中);66.8;77.2;74.0;54.5;76.5;68.2;70.2;71.8;多最佳位置复核：前腰、中前卫
28121568;现役;Anthony Elanga;Newcastle;22;左边锋;左边前卫;右边前卫、右边锋;左边锋;中场/前腰 (右左);58.8;52.2;66.8;33.0;86.5;62.8;49.0;58.8;
91207274;现役;Amadou Onana;Aston Villa;23;后腰;;中前卫;后腰;后腰, 中场 (中);59.2;68.2;69.8;67.0;76.8;74.5;66.7;66.8;
37084591;现役;Micky van de Ven;Tottenham Hotspur;23;中后卫;左后卫、左翼卫;;中后卫;后卫 (左中), 翼卫 (左);44.8;63.8;63.8;73.5;85.5;73.5;69.0;75.0;
19306929;现役;Rodrygo;Real Madrid;24;左边锋;中锋;右边锋;左边锋;前腰 (右左), 前锋 (中);77.8;72.5;78.8;42.2;77.8;64.5;66.8;66.5;
14130029;现役;Cristian Romero;Tottenham Hotspur;26;中后卫;;;中后卫;后卫 (中);44.0;63.3;58.5;80.8;70.0;72.5;72.8;78.8;
19242094;现役;Gabriel;Arsenal;27;中后卫;;;中后卫;后卫 (中);45.8;64.0;57.3;80.5;71.0;83.2;69.2;81.3;
93142470;现役;Yasin Ayari;Brighton;21;中前卫;;后腰;中前卫;后腰, 中场 (中);66.2;67.5;66.0;63.2;69.0;59.5;67.0;76.7;
2000015300;现役;Jamie Gittens;Chelsea;20;左边锋;左边前卫、右边前卫、右边锋;;左边锋;中场/前腰 (右左);58.7;58.0;75.5;39.5;81.5;50.8;52.0;50.0;
2000195626;现役;Yankuba Minteh;Brighton;20;左边锋;左边前卫、右边前卫;右边锋;左边锋;中场/前腰 (右左);63.2;60.0;67.5;47.5;83.0;64.0;56.8;64.5;
61089387;现役;Aaron Hickey;Brentford;22;左后卫;右翼卫;左翼卫、右后卫;左后卫;后卫/翼卫 (右左);55.3;62.2;65.5;62.2;69.5;60.5;62.7;68.2;
19163495;现役;Marquinhos;Paris Saint-Germain;30;中后卫;后腰;;中后卫;后卫 (中), 后腰;50.5;65.5;59.8;80.2;68.8;77.5;76.2;78.8;
19409389;现役;Thiago;Brentford;23;中锋;;;中锋;前锋 (中);69.2;62.0;64.5;48.0;69.0;73.0;62.0;71.0;
28124569;现役;Tino Livramento;Newcastle;22;左后卫;右翼卫;右后卫;左后卫;后卫 (右左), 翼卫 (右);48.0;65.0;68.2;66.0;77.0;66.2;66.8;70.8;
49060933;现役;Maxime Estève;Burnley;22;中后卫;;;中后卫;后卫 (中);40.2;56.2;49.5;71.3;74.2;65.0;66.3;63.8;
13200568;现役;Mohammed Kudus;Tottenham Hotspur;24;左边锋;中锋;前腰、右边锋;左边锋;前腰 (右左中), 前锋 (中);59.8;65.2;77.8;40.2;72.8;68.8;55.8;62.5;
55070299;现役;Rúben Dias;Manchester City;27;中后卫;;;中后卫;后卫 (中);40.0;65.5;60.8;82.2;67.5;81.5;73.0;84.5;
57178516;现役;Radu Drăguşin;Tottenham Hotspur;22;中后卫;右后卫;;中后卫;后卫 (右中);39.0;60.5;60.2;72.0;70.0;75.0;59.5;62.5;
55041632;现役;Bernardo Silva;Manchester City;30;中前卫、前腰;右边前卫;右边锋;前腰;中场/前腰 (右中);75.5;83.8;85.0;58.8;65.2;64.8;75.8;81.2;
43617691;现役;Nicolò Savona;Nottingham Forest;21;右后卫;;右翼卫;右后卫;后卫/翼卫 (右);59.2;64.5;62.5;68.3;70.0;67.5;64.5;61.2;
29125191;现役;Dominic Solanke;Tottenham Hotspur;27;中锋;;;中锋;前锋 (中);69.2;60.0;63.2;47.0;70.5;73.0;64.2;66.8;
37055841;现役;Justin Kluivert;Bournemouth;25;左边锋;左边前卫、右边锋;前腰;左边锋;中场 (左), 前腰 (右左中);67.2;69.5;77.8;33.5;79.8;51.8;59.2;63.5;
2000182795;现役;Archie Gray;Tottenham Hotspur;18;中前卫;右后卫;后腰;中前卫;后卫 (右), 后腰, 中场 (中);55.2;67.8;67.2;62.3;67.8;64.5;69.2;67.8;
45111891;现役;Kaoru Mitoma;Brighton;27;左边锋、左边前卫;;;左边锋;中场/前腰 (左);67.8;70.0;82.5;45.8;80.8;59.5;63.8;62.2;多最佳位置复核：左边锋、左边前卫
48042326;现役;Aurélien Tchouaméni;Real Madrid;24;后腰、中前卫;中后卫;;中后卫;后卫 (中), 后腰, 中场 (中);58.8;70.2;65.8;78.0;77.8;81.2;73.2;76.8;多最佳位置复核：后腰、中前卫
52094225;现役;Trai Hume;Sunderland;22;右后卫;左翼卫、中前卫;右翼卫;右后卫;后卫 (右), 翼卫 (右左), 中场 (中);46.0;62.7;53.0;68.8;60.0;66.0;58.5;65.8;
29125265;现役;Antonee Robinson;Fulham;27;左后卫;;左翼卫;左后卫;后卫/翼卫 (左);47.2;63.5;65.5;68.0;82.5;70.5;63.0;68.8;
2000065061;现役;Oscar Gloukh;Ajax;20;前腰;中锋;中前卫;前腰;中场/前腰 (中), 前锋 (中);59.8;66.0;71.0;37.8;61.5;52.2;55.7;59.8;
67276230;现役;Nico Williams;Athletic Bilbao;22;左边锋、右边锋;右边前卫;左边前卫;左边锋;中场/前腰 (右左);66.8;74.5;76.5;54.8;74.5;66.3;71.0;74.2;多最佳位置复核：左边锋、右边锋
67295650;现役;Yeremy Pino;Crystal Palace;22;前腰;左边前卫、右边前卫;左边锋、右边锋;前腰;中场 (右左), 前腰 (右左中);59.0;73.0;76.5;47.0;70.0;54.8;62.8;55.5;
72044918;现役;Tyler Adams;Bournemouth;25;后腰;;中前卫;后腰;后腰, 中场 (中);45.2;66.8;59.5;76.3;69.2;72.8;69.5;76.3;
89063107;现役;Iliman N'Diaye;Everton;24;左边锋;左边前卫、右边前卫、右边锋、中锋;前腰;左边锋;中场 (右左), 前腰 (右左中), 前锋 (中);65.8;66.0;85.8;46.0;70.0;60.5;58.8;63.5;
2000273847;现役;Babis Kostoulas;Brighton;17;左边锋;右边锋;前腰、中锋;左边锋;前腰 (右左中), 前锋 (中);59.3;56.5;69.2;45.0;66.8;62.5;55.5;68.5;
2000123482;现役;Murillo;Nottingham Forest;22;中后卫;后腰;;中后卫;后卫 (中), 后腰;45.5;72.5;72.8;69.8;72.2;74.5;67.8;70.2;
43143488;现役;Federico Dimarco;Inter Milan;27;左翼卫;;左后卫;左翼卫;后卫/翼卫 (左);72.2;79.8;71.5;65.8;69.5;64.0;76.0;79.5;
45104608;现役;Takefusa Kubo;Real San Sebastián;23;前腰;右边前卫、中锋;右边锋;前腰;中场 (右), 前腰 (右中), 前锋 (中);66.2;77.5;80.2;41.0;68.2;57.8;69.5;65.5;
19297055;现役;Bruno Guimarães;Newcastle;27;中前卫;;后腰;中前卫;后腰, 中场 (中);65.8;85.8;82.8;72.8;62.5;75.5;80.5;79.2;
48042717;现役;Ibrahim Sangaré;Nottingham Forest;27;后腰;;中前卫;后腰;后腰, 中场 (中);51.2;65.8;63.5;71.2;67.0;82.0;66.2;74.5;
28116386;现役;Anthony Gordon;Newcastle;23;左边锋;左边前卫;右边锋;左边锋;中场 (左), 前腰 (右左);68.2;67.8;75.2;51.8;82.5;62.5;65.2;72.0;
29240378;现役;David Møller Wolfe;Wolves;22;左后卫;左边前卫;左翼卫;左后卫;后卫/翼卫/中场 (左);49.8;58.8;59.8;60.0;68.2;65.0;60.0;69.2;
67216396;现役;Fabián;Paris Saint-Germain;28;前腰;;后腰、中前卫;前腰;后腰, 中场/前腰 (中);73.2;77.8;77.5;69.2;62.0;72.2;73.0;67.8;
85085378;现役;Aymeric Laporte;Athletic Bilbao;30;中后卫;;;中后卫;后卫 (中);50.8;68.8;59.2;71.2;57.8;65.5;71.5;70.8;
83333463;现役;Rodrigo Gomes;Wolves;21;左边锋;左翼卫;右翼卫、右边前卫、右边锋;左边锋;翼卫 (右左), 中场 (右), 前腰 (右左);53.0;60.2;66.0;48.0;74.0;52.0;54.8;73.8;
28126247;现役;Liam Delap;Chelsea;21;右边锋;;中锋;右边锋;前腰 (右), 前锋 (中);64.5;56.0;67.5;42.2;79.8;70.5;54.8;69.2;
67268221;现役;Pedro Porro;Tottenham Hotspur;25;右边前卫;;右后卫、右翼卫;右边前卫;后卫/翼卫/中场 (右);62.8;70.8;75.5;59.2;76.8;67.0;60.2;68.0;
13158205;现役;Victor Osimhen;Galatasaray;26;中锋;;;中锋;前锋 (中);75.0;59.2;71.5;39.0;82.5;72.0;63.8;73.0;
2000104850;现役;Mathys Tel;Tottenham Hotspur;19;左边锋;右边锋;中锋;左边锋;前腰 (右左), 前锋 (中);62.3;59.5;68.8;40.5;73.5;63.2;53.5;65.0;
28108036;现役;Conor Gallagher;Tottenham Hotspur;24;左边前卫;后腰、前腰;中前卫;左边前卫;后腰, 中场 (左中), 前腰 (中);64.2;65.2;64.5;59.0;69.2;66.0;63.5;80.2;
48043084;现役;Boubacar Kamara;Aston Villa;25;后腰;;中前卫;后腰;后腰, 中场 (中);52.7;70.2;68.0;79.2;73.2;73.0;77.8;69.2;
18077264;现役;Youri Tielemans;Aston Villa;27;前腰;;后腰、中前卫;前腰;后腰, 中场/前腰 (中);67.5;85.5;73.2;62.2;60.5;58.5;74.2;63.2;
49056279;现役;Rayan Cherki;Manchester City;21;前腰;中前卫、中锋;左边锋、右边锋;前腰;中场 (中), 前腰 (右左中), 前锋 (中);57.8;80.5;85.0;27.7;69.5;58.3;60.8;58.8;
37076335;现役;Jan Paul van Hecke;Brighton;24;中后卫;;;中后卫;后卫 (中);42.2;68.2;65.0;80.8;63.8;71.8;74.5;75.8;
79027217;现役;Omar Alderete;Sunderland;28;中后卫;;;中后卫;后卫 (中);41.2;52.2;52.2;77.2;61.0;77.5;65.2;72.5;
28094949;现役;Harry Wilson;Fulham;27;前腰;左边锋;右边锋;前腰;前腰 (右左中);73.2;76.0;78.0;43.2;69.0;52.0;63.2;63.8;
29226000;现役;Jarrad Branthwaite;Everton;22;中后卫;左后卫、右后卫;;中后卫;后卫 (右左中);44.3;62.5;63.2;68.2;68.5;73.2;68.5;68.8;
28127166;现役;Conor Bradley;Liverpool;21;右翼卫;;右后卫;右翼卫;后卫/翼卫 (右);54.8;67.8;70.5;65.2;79.5;61.8;64.8;73.5;
37063649;现役;Sven Botman;Newcastle;25;中后卫;;;中后卫;后卫 (中);42.7;64.0;56.2;79.2;60.0;75.5;71.0;75.0;
14110660;现役;Lautaro Martínez;Inter Milan;27;中锋;;;中锋;前锋 (中);79.5;65.0;77.0;44.2;77.5;78.0;65.8;86.0;
84153276;现役;Dan Ndoye;Nottingham Forest;24;左边锋;右边前卫;右边锋;左边锋;中场 (右), 前腰 (右左);57.2;62.8;72.3;44.8;82.2;61.8;59.5;63.5;
2000254692;现役;Chris Rigg;Sunderland;17;中前卫;后腰、前腰、右边锋;;中前卫;后腰, 中场 (中), 前腰 (右中);55.7;71.5;67.2;61.3;54.8;63.2;63.5;67.5;
2000006108;现役;Loum Tchaouna;Burnley;21;左边锋;前腰、左边前卫、右边前卫;右边锋;左边锋;中场 (右左), 前腰 (右左中);65.5;63.5;72.0;36.2;74.0;58.7;52.5;50.5;
67276127;现役;Nico González;Manchester City;23;前腰;;后腰、中前卫;前腰;后腰, 中场/前腰 (中);59.8;76.2;74.5;63.3;66.5;71.5;73.5;65.0;
48037335;现役;Marcus Thuram;Inter Milan;27;左边锋;;中锋;左边锋;前腰 (左), 前锋 (中);73.0;69.8;84.0;38.0;82.5;75.8;64.2;65.5;
29125343;现役;Scott McTominay;Napoli;28;后腰;左边锋;中前卫、前腰;后腰;后腰, 中场 (中), 前腰 (左中);76.3;68.0;68.8;67.2;69.8;89.0;73.5;81.8;
2000168014;现役;Abdukodir Khusanov;Manchester City;20;中后卫;右后卫;;中后卫;后卫 (右中);47.8;61.0;53.8;71.8;82.0;74.0;64.0;70.0;
27128917;现役;Mikkel Damsgaard;Brentford;24;前腰;中前卫、左边锋、右边锋;;前腰;中场 (中), 前腰 (右左中);60.8;77.2;74.2;51.3;65.5;51.3;66.5;66.0;
92026209;现役;Hakan Çalhanoğlu;Inter Milan;30;中前卫;;后腰;中前卫;后腰, 中场 (中);73.2;87.2;71.0;62.0;61.5;56.8;77.5;66.3;
37071145;现役;Mats Wieffer;Brighton;25;中后卫;右后卫;后腰、中前卫;中后卫;后卫 (右中), 后腰, 中场 (中);50.0;65.2;59.8;68.8;65.5;67.5;67.5;75.0;
2000181764;现役;Kees Smit;AZ;19;前腰;;后腰、中前卫;前腰;后腰, 中场/前腰 (中);61.0;69.0;73.0;49.2;62.8;60.5;64.5;59.5;
91208050;现役;Kevin Schade;Brentford;23;左边锋;前腰、中锋;右边锋;左边锋;前腰 (右左中), 前锋 (中);61.0;60.8;66.3;37.5;77.0;62.2;54.5;59.3;
28122195;现役;Fábio Carvalho;Brentford;22;左边锋;右边锋、中锋;前腰;左边锋;前腰 (右左中), 前锋 (中);61.0;67.2;73.5;43.5;71.2;50.5;60.5;57.5;
14080605;现役;Marcos Senesi;Bournemouth;27;中后卫;;;中后卫;后卫 (中);46.0;71.5;61.2;73.0;64.5;69.2;68.5;67.5;
49056280;现役;Malo Gusto;Chelsea;21;右后卫;;右翼卫;右后卫;后卫/翼卫 (右);47.0;61.2;59.3;59.5;80.2;64.8;59.0;69.5;
49050736;现役;Adrien Truffert;Bournemouth;23;左后卫;左翼卫、左边前卫;;左后卫;后卫/翼卫/中场 (左);61.3;69.2;68.8;71.2;73.2;63.2;68.3;65.8;
28115788;现役;Curtis Jones;Liverpool;23;前腰;左边锋;后腰、中前卫;前腰;后腰, 中场 (中), 前腰 (左中);60.8;75.8;78.8;54.8;68.2;61.5;68.0;66.0;
29125842;现役;Jarrod Bowen;West Ham;28;右边锋、中锋;右边前卫、左边锋;左边前卫;左边锋;中场/前腰 (右左), 前锋 (中);72.5;66.8;69.8;40.2;72.8;53.8;62.7;69.0;多最佳位置复核：右边锋、中锋
