Unique ID;名字;球员类型;俱乐部;联赛;年龄;原价格池;新选秀池;是否保留;筛选分;最佳位置;第二位置;其他位置;基础价格参考;八维均值
37040604;Hakim Ziyech;现役;Wydad Casablanca;摩洛哥足球国家联赛1组;31;强援池;球星池;是;1058.20;前腰;中前卫、左边前卫、右边前卫、左边锋;右边锋;49.7;59.6
85100467;Sadio Mané;现役;Al-Nassr;沙特联;32;强援池;球星池;是;1058.06;左边锋、右边锋、中锋;左边前卫;;46.7;63.0
19067093;Alex Sandro;现役;Flamengo;巴甲;33;强援池;球星池;是;1057.47;左后卫、左翼卫;中后卫;;45.3;66.0
67117360;Álvaro Morata;现役;Como;意甲;32;强援池;球星池;是;1057.09;中锋;;;40.4;65.8
48032338;Ismaël Bennacer;现役;Dinamo Zagreb;克甲;27;强援池;球星池;是;1057.07;中前卫;;后腰;49.2;65.6
67211695;Théo Hernández;现役;Al-Hilal;沙特联;27;强援池;球星池;是;1056.80;左翼卫、左后卫;;;46.6;68.3
37024470;Memphis Depay;现役;Corinthians;巴甲;30;强援池;球星池;是;1056.61;左边锋;前腰;中锋;46.2;62.6
67191910;Éric Bailly;现役;Oviedo;西甲;30;强援池;球星池;是;1056.32;中后卫;;;40.8;63.5
35011448;Thomas Müller;现役;Vancouver;美职联;35;强援池;球星池;是;1056.22;前腰、中锋;中前卫、右边前卫、右边锋;;43.8;68.1
35017428;Marc-André ter Stegen;现役;Girona;西甲;26;强援池;球星池;是;1055.62;门将;;;40.3;69.4
78001113;Fernando Muslera;现役;Estudiantes (LP);阿甲;38;强援池;球星池;是;1055.58;门将;;;44.0;61.1
8832889;Willian;现役;Grêmio;巴甲;36;强援池;球星池;是;1053.21;前腰、左边锋、右边锋;左边前卫、右边前卫;;41.9;58.9
14043349;Ángel Correa;现役;Tigres;墨超;29;强援池;球星池;是;1053.17;右边锋;前腰;中锋;45.2;62.7
93011051;Emil Forsberg;现役;New York;美职联;33;强援池;球星池;是;1052.44;前腰;左边前卫、右边锋;左边锋;40.9;60.7
23127918;Mehdi Taremi;现役;Olympiacos;希超;32;强援池;球星池;是;1051.46;前腰;;中锋;41.9;64.7
83176849;Merih Demiral;现役;Al-Ahli;沙特联;26;强援池;球星池;是;1051.33;中后卫;;;41.7;63.6
43043933;Lorenzo Insigne;现役;Pescara;意乙;33;强援池;球星池;是;1050.47;左边锋;;中锋;41.3;57.7
92030193;Julian Draxler;现役;Al-Ahli;沙特联;31;强援池;球星池;是;1050.30;前腰;中前卫、左边前卫、右边锋;左边锋;40.0;57.9
85086702;Anthony Martial;现役;Monterrey;墨超;29;主力池;球员池;是;1038.03;左边锋;;中锋;30.8;56.5
78005742;Edinson Cavani;现役;Boca;阿甲;37;主力池;球员池;是;1037.79;中锋;;;25.9;63.7
950975;Radamel Falcao;现役;Millonarios F.C.;哥伦比亚甲;38;主力池;球员池;是;1037.69;中锋;;;28.4;58.6
8442448;André Ayew;现役;NAC Breda;荷甲;35;轮换池;球员池;是;1037.51;中锋;左边锋;右边锋;24.9;61.3
18091791;Wilfred Ndidi;现役;Beşiktaş;土超;28;主力池;球员池;是;1037.44;后腰;中前卫;;27.9;62.8
80010074;Joel Campbell;现役;Alajuelense;哥斯达黎加甲级联赛;32;主力池;球员池;是;1037.10;左边锋;左边前卫、右边前卫、中锋;右边锋;28.3;58.4
51012751;Jesús Corona;现役;Monterrey;墨超;32;主力池;球员池;是;1036.16;左边锋;右翼卫;右边前卫、右边锋;27.6;56.4
5200647;Craig Gordon;现役;Hearts;苏超;42;主力池;球员池;是;1035.49;门将;;;26.4;57.0
85023676;Thorgan Hazard;现役;RSC Anderlecht;比甲;31;主力池;球员池;是;1035.39;前腰;中锋;左边锋;27.0;58.6
742448;José Fonte;现役;Casa Pia;葡超;41;轮换池;球员池;是;1035.31;中后卫;;;23.1;58.0
37002936;Jasper Cillessen;现役;N.E.C.;荷甲;35;轮换池;球员池;是;1035.07;门将;;;22.4;61.8
45092815;Junya Ito;现役;KRC Genk;比甲;31;主力池;球员池;是;1035.02;右边锋;右边前卫;;26.6;58.9
24025298;Dominik Livaković;现役;Dinamo Zagreb;克甲;30;主力池;球员池;是;1034.68;门将;;;26.7;59.0
77012583;André Carrillo;现役;Corinthians;巴甲;33;轮换池;球员池;是;1034.40;右边锋;;中前卫;23.3;57.1
76003938;Carlos Bacca;现役;Junior;哥伦比亚甲;38;轮换池;球员池;是;1033.92;中锋;;;24.6;59.0
5290748;Paolo Guerrero;现役;Alianza;秘鲁甲;41;轮换池;球员池;是;1033.83;中锋;;;24.3;60.6
12028932;Vincent Aboubakar;现役;Neftçi PFK;阿塞拜疆超;32;主力池;球员池;是;1033.82;前腰;右边锋;中锋;25.3;56.0
8708271;Lukas Podolski;现役;Górnik;“PKO BP”波甲联赛;39;轮换池;球员池;是;1033.73;前腰;;中锋;24.7;56.5
23048798;Maradona;传奇;Napoli;意甲;27;传奇池;传奇池;是;307.32;前腰;中锋;;282.0;77.7
23460508;Ronaldinho;传奇;Barcelona;西甲;23;传奇池;传奇池;是;217.54;前腰、左边锋;;;192.5;75.4
23244492;Lionel Messi;传奇;Barcelona;西甲;24;传奇池;传奇池;是;209.01;右边锋、前腰;;左边锋;184.4;71.8
2000307374;Adriano;传奇;Inter Milan;意甲;22;传奇池;传奇池;是;204.13;中锋;;;178.9;76.9
23048742;Dennis Bergkamp;传奇;Arsenal;英超;26;传奇池;传奇池;是;199.02;中锋、前腰;;;170.8;76.8
23244590;Cristiano Ronaldo;传奇;Real Madrid;西甲;25;传奇池;传奇池;是;195.68;右边锋、左边锋;;;170.7;74.8
2000233530;Thierry Henry;传奇;Arsenal;英超;27;传奇池;传奇池;是;192.46;中锋、左边锋;;;164.6;73.9
23372648;Johan Cruyff;传奇;Barcelona;西甲;26;传奇池;传奇池;是;189.74;前腰、中锋;中前卫;;165.4;69.5
2000307385;Zinédine Zidane;传奇;Real Madrid;西甲;26;传奇池;传奇池;是;188.79;中前卫、前腰;;;164.3;70.8
85139014;Kylian Mbappé;现役;Real Madrid;西甲;26;球星池;球星池;是;184.47;左边锋、中锋;右边锋;;160.0;70.6
23049248;Roberto Baggio;传奇;Juventus;意甲;26;传奇池;传奇池;是;180.42;前腰、中锋;;;156.2;68.5
23413408;Ferenc Puskás;传奇;Real Madrid;西甲;23;传奇池;传奇池;是;180.31;中锋;;;155.2;75.9
23168716;Ronaldo;传奇;Real Madrid;西甲;28;传奇池;传奇池;是;177.30;中锋;;;152.9;70.0
23168720;Patrick Vieira;传奇;Arsenal;英超;27;传奇池;传奇池;是;173.97;后腰、中前卫;;;145.2;81.4
53095137;Martin Ødegaard;现役;Arsenal;英超;26;球星池;球星池;是;173.62;前腰;;中前卫;146.1;71.0
23168705;John Terry;传奇;Chelsea;英超;24;传奇池;传奇池;是;171.29;中后卫;;;143.0;77.4
28049320;Harry Kane;现役;Bayern Munich;德甲;31;球星池;球星池;是;171.12;中锋;前腰;;144.5;77.3
29179241;Erling Haaland;现役;Manchester City;英超;24;球星池;球星池;是;165.78;中锋;;;137.7;75.7
23244569;Carles Puyol;传奇;Barcelona;西甲;27;传奇池;传奇池;是;163.12;中后卫、右后卫;;;138.2;74.4
23342455;Eusébio;传奇;Benfica;葡超;24;传奇池;传奇池;是;161.04;前腰;;中锋;140.6;70.3
36522001;Fabio Cannavaro;传奇;Parma;意甲;28;传奇池;传奇池;是;158.20;中后卫;;;142.3;74.2
23244583;Rivaldo;传奇;Barcelona;西甲;26;传奇池;传奇池;是;156.23;前腰、中锋;中前卫;;131.3;74.4
23168730;Roy Keane;传奇;Manchester United;英超;28;传奇池;传奇池;是;152.17;后腰、中前卫;;;123.8;78.1
23168718;Andriy Shevchenko;传奇;AC Milan;意甲;28;传奇池;传奇池;是;152.07;中锋;;;127.4;72.3
23184860;Zico;传奇;Flamengo;巴甲;21;传奇池;传奇池;是;151.63;前腰、中锋;左边锋;;141.3;69.4
98028755;Mohamed Salah;现役;Liverpool;英超;32;球星池;球星池;是;151.14;右边锋;左边锋、中锋;;121.7;72.0
23461569;Xabi Alonso;传奇;Liverpool;英超;23;传奇池;传奇池;是;150.71;后腰、中前卫;;;122.5;76.8
23168713;Kaká;传奇;AC Milan;意甲;22;传奇池;传奇池;是;150.52;前腰;左边锋、右边锋;;125.9;71.8
23244612;Samuel Eto'o;传奇;Barcelona;西甲;25;传奇池;传奇池;是;149.16;中锋;;;124.4;73.0
91193048;Florian Wirtz;现役;Liverpool;英超;21;球星池;球星池;是;149.07;前腰、左边锋;中前卫、右边锋;;121.7;69.7
23168723;Sol Campbell;传奇;Arsenal;英超;26;传奇池;传奇池;是;149.07;中后卫;;;121.1;74.8
23244496;Xavi;传奇;Barcelona;西甲;27;传奇池;传奇池;是;148.68;中前卫;后腰;;124.2;70.7
29221846;Michael Olise;现役;Bayern Munich;德甲;23;球星池;球星池;是;148.41;右边锋、右边前卫;中前卫;前腰;123.9;70.9
2000307304;Gianluigi Buffon;传奇;Juventus;意甲;26;传奇池;传奇池;是;148.35;门将;;;122.8;79.5
23244589;Petr Čech;传奇;Chelsea;英超;22;传奇池;传奇池;是;148.18;门将;;;120.9;69.0
37024025;Virgil van Dijk;现役;Liverpool;英超;33;球星池;球星池;是;148.00;中后卫;;;117.7;75.4
23244526;Marco van Basten;传奇;AC Milan;意甲;22;传奇池;传奇池;是;147.79;中锋;;;122.7;75.7
23395783;Juan Román Riquelme;传奇;Villarreal;西甲;26;传奇池;传奇池;是;147.51;前腰;中前卫;;123.6;65.9
23380013;Luis Figo;传奇;Real Madrid;西甲;28;传奇池;传奇池;是;147.45;右边锋、右边前卫;中前卫、左边前卫、左边锋;前腰;122.9;71.2
23244505;Deco;传奇;Barcelona;西甲;28;传奇池;传奇池;是;147.11;中前卫、前腰;;;122.7;70.1
23168729;Gary Neville;传奇;Manchester United;英超;26;传奇池;传奇池;是;145.45;右后卫;中后卫;;117.7;73.0
49039004;William Saliba;现役;Arsenal;英超;23;球星池;球星池;是;144.97;中后卫;;;117.1;73.9
23168735;Cesc Fàbregas;传奇;Arsenal;英超;17;传奇池;传奇池;是;144.48;中前卫、前腰;;;116.6;74.0
23244550;Frank Lampard;传奇;Chelsea;英超;26;传奇池;传奇池;是;143.23;中前卫、前腰;;;115.2;75.3
23174668;Alessandro Nesta;传奇;AC Milan;意甲;26;传奇池;传奇池;是;142.69;中后卫;;;118.1;71.6
23219323;Steven Gerrard;传奇;Liverpool;英超;24;传奇池;传奇池;是;142.34;中前卫、前腰;后腰、右边前卫;;113.9;78.7
23048854;Alan Shearer;传奇;Newcastle;英超;26;传奇池;传奇池;是;142.23;中锋;;;114.2;75.3
23342402;Raúl;传奇;Real Madrid;西甲;27;传奇池;传奇池;是;141.45;中锋、前腰;;;116.1;77.9
23244520;Wayne Rooney;传奇;Manchester United;英超;19;传奇池;传奇池;是;141.44;中锋、前腰;左边锋、右边锋;;113.8;72.0
36522035;Pelé;传奇;Santos;巴甲;24;传奇池;传奇池;是;141.42;中锋、前腰;;;130.3;76.0
28120042;Cole Palmer;现役;Chelsea;英超;22;球星池;球星池;是;141.25;前腰、右边锋;左边锋;;114.3;66.2
2000256231;Lamine Yamal;现役;Barcelona;西甲;17;球星池;球星池;是;140.43;右边锋;;右边前卫;116.3;67.8
23168712;Antonio Cassano;传奇;Roma;意甲;22;传奇池;传奇池;是;140.02;左边锋;;中锋;115.8;68.5
55041632;Bernardo Silva;现役;Manchester City;英超;30;球星池;球星池;是;139.42;中前卫、前腰;右边前卫;右边锋;111.0;71.0
23244480;Arjen Robben;传奇;Chelsea;英超;20;传奇池;传奇池;是;138.94;右边前卫、右边锋;左边前卫、左边锋;;111.6;69.5
23244508;Michael Owen;传奇;Newcastle;英超;25;传奇池;传奇池;是;138.75;中锋;;;111.3;70.4
28122642;Bukayo Saka;现役;Arsenal;英超;23;球星池;球星池;是;138.23;右边锋;;左边锋;110.7;71.1
23168722;Paul Scholes;传奇;Manchester United;英超;27;传奇池;传奇池;是;137.19;中前卫、前腰;;;109.6;71.6
19297055;Bruno Guimarães;现役;Newcastle;英超;27;球星池;球星池;是;137.11;中前卫;;后腰;109.2;74.2
36522018;Franco Baresi;传奇;AC Milan;意甲;27;传奇池;传奇池;是;136.71;中后卫;;;112.1;71.8
83174762;Vitinha;现役;Paris Saint-Germain;法甲;24;球星池;球星池;是;136.70;中前卫;;后腰;113.0;72.5
36522011;Hernán Crespo;传奇;Inter Milan;意甲;27;传奇池;传奇池;是;136.68;中锋;;;112.1;71.5
29232937;Jude Bellingham;现役;Real Madrid;西甲;21;球星池;球星池;是;136.45;中前卫、前腰;左边前卫;;111.2;77.1
23244494;Michael Laudrup;传奇;Barcelona;西甲;28;传奇池;传奇池;是;135.81;前腰;中前卫、中锋;;111.4;70.1
23168709;Ruud van Nistelrooy;传奇;Manchester United;英超;28;传奇池;传奇池;是;135.32;中锋;;;107.6;72.7
23168706;Francesco Totti;传奇;Roma;意甲;28;传奇池;传奇池;是;135.05;前腰;;中锋;110.4;72.1
67217524;Rodri;现役;Manchester City;英超;28;球星池;球星池;是;134.95;后腰、中前卫;中后卫;;106.9;75.4
23168714;Fernando Torres;传奇;Atlético Madrid;西甲;20;传奇池;传奇池;是;134.08;中锋;;;109.4;72.4
36522017;Romário;传奇;PSV;荷甲;26;传奇池;传奇池;是;133.82;中锋;;;113.5;69.3
2000331565;Michael Ballack;传奇;Bayern Munich;德甲;28;传奇池;传奇池;是;132.30;中前卫、前腰;;;107.1;76.7
18004457;Kevin De Bruyne;现役;Napoli;意甲;33;球星池;球星池;是;131.91;中前卫、前腰;;;105.4;68.9
36522056;Mesut Özil;传奇;Arsenal;英超;28;传奇池;传奇池;是;131.42;前腰;左边锋、右边锋;;104.5;66.0
28108494;Phil Foden;现役;Manchester City;英超;24;球星池;球星池;是;129.79;前腰、左边锋、右边锋;;中前卫;102.7;67.4
23219314;Bobby Charlton;传奇;Manchester United;英超;27;传奇池;传奇池;是;129.33;前腰、中前卫;;左边锋;101.9;70.3
2000398315;Vicente;传奇;Valencia;西甲;23;传奇池;传奇池;是;128.81;左边锋;;;104.6;68.5
23244495;Pep Guardiola;传奇;Barcelona;西甲;25;传奇池;传奇池;是;128.31;后腰;;中前卫;103.3;75.0
18026122;Thibaut Courtois;现役;Real Madrid;西甲;32;球星池;球星池;是;127.67;门将;;;101.5;69.7
19058734;Alisson;现役;Liverpool;英超;32;球星池;球星池;是;127.40;门将;;;97.8;73.3
28106491;Declan Rice;现役;Arsenal;英超;26;球星池;球星池;是;127.16;中前卫;;后腰;99.1;75.5
23244454;Ronald Koeman;传奇;Barcelona;西甲;27;传奇池;传奇池;是;126.97;中后卫;;;102.1;73.9
23048751;Alexis Sánchez;传奇;Arsenal;英超;25;传奇池;传奇池;是;126.79;左边锋、右边锋;前腰;中锋;99.0;73.3
2000309124;Iker Casillas;传奇;Real Madrid;西甲;24;传奇池;传奇池;是;126.50;门将;;;102.3;68.3
55070299;Rúben Dias;现役;Manchester City;英超;27;球星池;球星池;是;126.45;中后卫;;;98.9;71.3
23244498;Michael Essien;传奇;Chelsea;英超;22;传奇池;传奇池;是;125.92;后腰、中前卫;中后卫、右边前卫;;98.0;74.3
23049162;Christian Vieri;传奇;Inter Milan;意甲;25;传奇池;传奇池;是;125.42;中锋;;;100.4;75.1
23244570;Neymar;传奇;Barcelona;西甲;21;传奇池;传奇池;是;124.86;左边锋、前腰;中锋;;101.2;63.9
23168719;Carlos Tevez;传奇;West Ham;英超;21;传奇池;传奇池;是;124.56;前腰、中锋;;;97.4;68.0
23168710;Lúcio;传奇;Bayern Munich;德甲;26;传奇池;传奇池;是;124.38;中后卫;;;99.3;75.7
23244486;Rio Ferdinand;传奇;Manchester United;英超;27;传奇池;传奇池;是;124.20;中后卫;;;96.8;70.0
2000075164;Júlio Baptista;传奇;Real Madrid;西甲;23;传奇池;传奇池;是;123.43;中前卫;;前腰;97.9;79.4
93070286;Alexander Isak;现役;Liverpool;英超;25;球星池;球星池;是;123.41;左边锋;;中锋;96.2;68.5
653054;Luka Modrić;现役;AC Milan;意甲;39;球星池;球星池;是;123.02;中前卫、前腰;;后腰;96.6;68.1
36522021;Diego Simeone;传奇;Atlético Madrid;西甲;22;传奇池;传奇池;是;122.97;后腰;;中前卫;97.6;78.1
19302146;Vinícius Júnior;现役;Real Madrid;西甲;24;球星池;球星池;是;122.84;左边锋;中锋;;98.6;68.7
19242094;Gabriel;现役;Arsenal;英超;27;球星池;球星池;是;122.01;中后卫;;;94.3;72.6
36522015;Edgar Davids;传奇;Juventus;意甲;26;传奇池;传奇池;是;121.82;中前卫、后腰;;;96.3;79.3
36521997;Pablo Aimar;传奇;Valencia;西甲;25;传奇池;传奇池;是;121.71;前腰;;;98.2;62.6
2000306548;Andrés Iniesta;传奇;Barcelona;西甲;24;传奇池;传奇池;是;121.60;中前卫、前腰;;;97.5;67.5
14110660;Lautaro Martínez;现役;Inter Milan;意甲;27;球星池;球星池;是;120.93;中锋;;;96.3;71.9
48042326;Aurélien Tchouaméni;现役;Real Madrid;西甲;24;球星池;球星池;是;120.77;后腰、中前卫;中后卫;;95.9;73.9
76049803;Luis Díaz;现役;Bayern Munich;德甲;28;球星池;球星池;是;120.20;左边锋;左边前卫、右边锋;;95.6;71.6
23413404;Ryan Giggs;传奇;Manchester United;英超;26;传奇池;传奇池;是;118.93;左边前卫、左边锋;;;92.1;65.2
92039023;Joshua Kimmich;现役;Bayern Munich;德甲;29;球星池;球星池;是;118.78;后腰;右翼卫;右后卫、中前卫;93.5;73.6
36522019;Frank Rijkaard;传奇;AC Milan;意甲;25;传奇池;传奇池;是;118.55;后腰、中后卫;中前卫;;93.6;74.6
23244579;Joaquín;传奇;Real Betis;西甲;23;传奇池;传奇池;是;118.00;右边前卫、右边锋;;;102.9;67.5
7458500;Lionel Messi;现役;Inter Miami;美职联;37;球星池;球星池;是;117.77;右边锋;;前腰、中锋;105.5;66.8
36522057;Gennaro Gattuso;传奇;AC Milan;意甲;27;传奇池;传奇池;是;117.54;后腰;;中前卫、右边前卫;92.7;73.6
28124579;Jamal Musiala;现役;Bayern Munich;德甲;21;球星池;球星池;是;117.00;前腰、左边锋;中前卫、右边锋;;92.7;69.2
23184862;Cafú;传奇;AC Milan;意甲;23;传奇池;传奇池;是;116.96;右后卫、右翼卫;;;92.3;72.1
36522009;Tony Adams;传奇;Arsenal;英超;25;传奇池;传奇池;是;115.67;中后卫;;;88.2;70.6
16182894;Dayot Upamecano;现役;Bayern Munich;德甲;26;球星池;球星池;是;115.15;中后卫;;;90.4;72.9
36522053;William Gallas;传奇;Chelsea;英超;27;传奇池;传奇池;是;114.70;中后卫;左后卫;;87.1;71.7
23048278;Nemanja Vidic;传奇;Manchester United;英超;25;传奇池;传奇池;是;114.68;中后卫;;;87.3;69.8
23244473;Peter Schmeichel;传奇;Manchester United;英超;28;传奇池;传奇池;是;114.18;门将;;;86.3;74.0
23048754;Didier Drogba;传奇;Chelsea;英超;26;传奇池;传奇池;是;113.86;中锋;;;86.0;73.8
14183207;Julián Álvarez;现役;Atlético Madrid;西甲;24;球星池;球星池;是;113.35;中锋、前腰;左边锋、右边锋;;89.1;68.8
19163495;Marquinhos;现役;Paris Saint-Germain;法甲;30;球星池;球星池;是;113.12;中后卫;后腰;;88.7;71.0
36522440;Gilberto Silva;传奇;Arsenal;英超;28;传奇池;传奇池;是;113.01;后腰;;中前卫;85.3;72.6
23168727;Pavel Nedvěd;传奇;Juventus;意甲;28;传奇池;传奇池;是;112.88;左边锋、前腰、左边前卫;;;88.2;72.4
86075795;Willian Pacho;现役;Paris Saint-Germain;法甲;23;球星池;球星池;是;112.83;中后卫;左后卫;;89.3;71.1
23048077;Yaya Touré;传奇;Manchester City;英超;26;传奇池;传奇池;是;112.81;后腰、中前卫;;;85.0;73.4
23168732;Michael Carrick;传奇;Manchester United;英超;23;传奇池;传奇池;是;112.73;中前卫、后腰;;;85.0;72.8
59130638;Khvicha Kvaratskhelia;现役;Paris Saint-Germain;法甲;23;球星池;球星池;是;112.68;前腰;;左边锋;89.7;66.5
43252073;Gianluigi Donnarumma;现役;Manchester City;英超;25;球星池;球星池;是;111.66;门将;;;84.2;70.5
48037335;Marcus Thuram;现役;Inter Milan;意甲;27;球星池;球星池;是;111.29;左边锋;;中锋;87.0;69.1
2000331622;Shaun Wright-Phillips;传奇;Chelsea;英超;23;传奇池;传奇池;是;110.67;右边锋;;右边前卫;83.6;67.3
23265937;George Best;传奇;Manchester United;英超;19;传奇池;传奇池;是;110.24;左边锋、右边锋;;前腰;83.6;63.7
28108035;Reece James;现役;Chelsea;英超;25;球星池;球星池;是;110.04;右后卫、右翼卫;中后卫、后腰;;82.5;71.2
23287166;Edwin van der Sar;传奇;Manchester United;英超;34;传奇池;传奇池;是;109.85;门将;;;79.6;75.0
2000030579;Sergio Busquets;传奇;Barcelona;西甲;24;传奇池;传奇池;是;109.82;后腰;中前卫;;85.3;71.0
85140178;Ousmane Dembélé;现役;Paris Saint-Germain;法甲;27;球星池;球星池;是;109.81;中锋、左边锋、右边锋;;;86.8;66.8
23244490;Patrick Kluivert;传奇;Barcelona;西甲;22;传奇池;传奇池;是;109.69;中锋;;;85.3;69.9
43252460;Alessandro Bastoni;现役;Inter Milan;意甲;25;球星池;球星池;是;109.45;中后卫;;;84.6;73.8
23168724;Alessandro Del Piero;传奇;Juventus;意甲;24;传奇池;传奇池;是;109.08;前腰、中锋;左边锋;;84.6;70.7
36522000;Claude Makélélé;传奇;Chelsea;英超;28;传奇池;传奇池;是;109.02;后腰;;中前卫;81.5;71.0
98003821;Granit Xhaka;现役;Sunderland;英超;32;球星池;球星池;是;108.73;中前卫;;后腰;88.2;72.7
36522007;Ricardo Carvalho;传奇;Chelsea;英超;26;传奇池;传奇池;是;108.25;中后卫;;;81.1;67.9
43298481;Sandro Tonali;现役;Newcastle;英超;24;球星池;球星池;是;108.04;后腰;;中前卫;80.6;70.4
23413399;Clarence Seedorf;传奇;AC Milan;意甲;25;传奇池;传奇池;是;106.78;中前卫、前腰;右边锋;右边前卫;82.2;71.5
28060397;John Stones;现役;Manchester City;英超;30;球星池;球星池;是;106.42;中后卫;右后卫、后腰;;77.8;72.7
23244580;Javier Mascherano;传奇;West Ham;英超;24;传奇池;传奇池;是;106.34;后腰;;;79.4;66.1
23342468;Eric Cantona;传奇;Manchester United;英超;27;传奇池;传奇池;是;106.20;前腰、中锋;;;78.5;72.5
36522024;Kolo Touré;传奇;Arsenal;英超;24;传奇池;传奇池;是;106.14;中后卫;右后卫;;78.4;72.9
36522046;Jermain Defoe;传奇;Tottenham Hotspur;英超;22;传奇池;传奇池;是;105.23;中锋;;;87.6;63.6
36521998;Jens Lehmann;传奇;Arsenal;英超;30;传奇池;传奇池;是;104.97;门将;;;76.2;74.0
67197125;Marco Asensio;现役;Fenerbahçe;土超;28;球星池;球星池;是;104.94;前腰;左边锋;中前卫、右边锋;85.9;67.0
19306929;Rodrygo;现役;Real Madrid;西甲;24;球星池;球星池;是;104.93;左边锋;中锋;右边锋;80.9;66.9
23244470;Daniel Alves;传奇;Barcelona;西甲;27;传奇池;传奇池;是;104.90;右翼卫、右后卫;右边前卫;;80.4;70.8
2000233525;Luis Enrique;传奇;Barcelona;西甲;26;传奇池;传奇池;是;104.79;右边锋、右边前卫;前腰;;80.3;70.8
23460695;Walter Samuel;传奇;Inter Milan;意甲;26;传奇池;传奇池;是;104.78;中后卫;;;80.6;68.1
23447657;Tomas Rosicky;传奇;Borussia Dortmund;德甲;24;传奇池;传奇池;是;104.60;中前卫、前腰;;;80.5;67.5
36522039;Ashley Cole;传奇;Arsenal;英超;24;传奇池;传奇池;是;104.18;左后卫、左翼卫;;;76.7;70.7
36522012;Gareth Bale;传奇;Real Madrid;西甲;21;传奇池;传奇池;是;104.03;左边前卫、左边锋、右边锋;前腰、右边前卫;;79.7;69.4
36522014;Gabriel Batistuta;传奇;Fiorentina;意甲;24;传奇池;传奇池;是;104.02;中锋;;;88.6;70.2
29125343;Scott McTominay;现役;Napoli;意甲;28;球星池;球星池;是;103.98;后腰;左边锋;中前卫、前腰;78.8;76.5
24060473;Joško Gvardiol;现役;Manchester City;英超;22;球星池;球星池;是;103.62;中后卫、左后卫;左翼卫;;75.9;72.7
28108033;Marc Guéhi;现役;Manchester City;英超;24;球星池;球星池;是;103.60;中后卫;;;76.2;70.0
49056243;Eduardo Camavinga;现役;Real Madrid;西甲;22;球星池;球星池;是;103.58;后腰、中前卫;左后卫;;78.8;73.2
67216396;Fabián;现役;Paris Saint-Germain;法甲;28;球星池;球星池;是;103.55;前腰;;后腰、中前卫;80.0;71.2
23048638;Robert Pirès;传奇;Arsenal;英超;26;传奇池;传奇池;是;103.21;左边锋、左边前卫;前腰、右边前卫、右边锋;;76.4;65.1
36522008;Eden Hazard;传奇;Chelsea;英超;21;传奇池;传奇池;是;103.16;左边锋、前腰;中前卫、右边锋;;76.8;61.3
48043084;Boubacar Kamara;现役;Aston Villa;英超;25;球星池;球星池;是;102.70;后腰;;中前卫;75.2;70.9
86066853;Piero Hincapié;现役;Arsenal;英超;23;球星池;球星池;是;101.95;中后卫;左翼卫;左后卫;74.5;70.4
23497388;Lev Yashin;传奇;Dynamo Moscow;俄超;28;传奇池;传奇池;是;101.83;门将;;;92.5;77.8
2000331618;Gianluca Zambrotta;传奇;Juventus;意甲;27;传奇池;传奇池;是;101.79;左后卫、左翼卫、右后卫;左边前卫;右边前卫;77.4;69.9
36522010;Cristian Chivu;传奇;Roma;意甲;24;传奇池;传奇池;是;101.75;左后卫、中后卫;;;77.2;71.2
23244604;Rafael Márquez;传奇;Barcelona;西甲;26;传奇池;传奇池;是;101.54;中后卫、后腰;;;77.3;68.7
14000219;Ángel Di María;现役;Rosario Central;阿甲;36;球星池;球星池;是;100.94;前腰;;左边锋、右边锋;89.2;62.4
